economy,iso3c,year,region,subregion,population,independent,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,n_domains_used,n_indicators_selected,observed_indicator_points,expected_indicator_points_year,coverage_ratio,DCLO_score_confidence_weighted,model_trust_tier
Cameroon,CMR,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.21671367550802553,0.20727589318964643,-0.5570518373933985,-0.19878992701552775,-0.30088429736613603,-1.2668951158824238,-0.38884315999597757,6,17,15,17,0.8823529411764706,-0.38884315999597757,High
Canada,CAN,2014,North America,,,,0.4705196385231771,0.8526530434732035,0.26121139154828465,1.5431469668568065,-0.1803029554598799,-0.8578419210140015,0.34823102732126504,6,17,15,17,0.8823529411764706,0.34823102732126504,High
Caribbean small states,CSS,2014,Aggregates,,,,0.18172596478341618,0.4205228131764282,-0.010222577099822217,1.3896143052996088,-0.07257829819100164,-0.898988651918662,0.1683455926749946,6,17,11,17,0.6470588235294118,0.1683455926749946,Medium
Cayman Islands,CYM,2014,Latin America & Caribbean ,,,,0.8546779744241361,0.5444236536007291,-0.09114948811395047,1.3896143052996088,-0.08968921105096933,-0.9539157571237967,0.27566024617262624,6,17,7,17,0.4117647058823529,0.27566024617262624,Low
Central African Republic,CAF,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.5841434633656845,0.5444236536007291,-0.8100436760786062,-0.6658994375005555,-0.29908416134531346,-1.0256264174989427,-0.4733955836980622,6,17,12,17,0.7058823529411765,-0.4733955836980622,Medium
Central Europe and the Baltics,CEB,2014,Aggregates,,,,0.4317978503118944,0.8708695110990464,0.2543444754046355,1.6718508887413994,0.35745369505379315,-0.9433587747595066,0.44049294097521036,6,17,14,17,0.8235294117647058,0.44049294097521036,High
Chad,TCD,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.5523277573457123,-0.1038615133628012,-0.7218208810499184,-0.711596709979004,-0.4335007572901059,-1.1023333107297935,-0.6042401549595559,6,17,15,17,0.8823529411764706,-0.6042401549595559,High
Channel Islands,CHI,2014,Europe & Central Asia,,,,0.18333303745660964,0.5444236536007291,-0.0677399868755199,0.7664256844579834,-0.07329974116322413,-0.9417027692326624,0.06857331304065263,6,17,3,17,0.17647058823529413,0.06857331304065263,Low
Chile,CHL,2014,Latin America & Caribbean ,,,,0.49826591603780995,0.8819801724971906,0.2231645888890095,1.8190494151693224,-0.17851083680177587,-0.9596547519888889,0.3807157506337779,6,17,15,17,0.8823529411764706,0.3807157506337779,High
China,CHN,2014,East Asia & Pacific,East Asia & Pacific (excluding high income),,,0.1685845685064654,0.5729891065631728,-0.06514519878644087,0.7254143545918098,-0.3248285912525835,-1.0989509318220716,-0.003656115366607963,6,17,14,17,0.8235294117647058,-0.003656115366607963,High
Colombia,COL,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.3389633640084356,0.7309579170098908,-0.037968867495989676,1.0007577252716746,-0.4169291537232405,-0.9967975903059653,0.10316389912746758,6,17,17,17,1.0,0.10316389912746758,High
Comoros,COM,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.42040430124359424,0.10430635792857297,-0.6321816074991727,-0.2518923189879748,-0.4349097682707382,-1.0708940403419536,-0.4509959464024768,6,17,16,17,0.9411764705882353,-0.4509959464024768,High
"Congo, Dem. Rep.",COD,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.4875197751359064,0.23518437096423472,-0.6773522301030201,-0.6993651970037859,-0.07114185972093867,-1.0658673667347405,-0.4610103429556928,6,17,14,17,0.8235294117647058,-0.4610103429556928,High
"Congo, Rep.",COG,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.13731032733502999,0.5444236536007291,-0.5193271284364737,-0.26969550544943194,0.21522258856277332,-1.0601944071840652,-0.20448018770691642,6,17,13,17,0.7647058823529411,-0.20448018770691642,Medium
Costa Rica,CRI,2014,Latin America & Caribbean ,,,,0.5201525801464832,0.7634956438208415,0.11985567083999978,1.712337266437374,-0.16714822418966638,-0.9397931841598789,0.3348166254825255,6,17,16,17,0.9411764705882353,0.3348166254825255,High
Cote d'Ivoire,CIV,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.1721633515948885,-0.2256085949643407,-0.553654795982092,0.1562790822968477,-0.23478308201781378,-0.9426957328330223,-0.3287710791825516,6,17,15,17,0.8823529411764706,-0.3287710791825516,High
Croatia,HRV,2014,Europe & Central Asia,,,,0.43574983355155195,0.8045110520673942,0.2859057516230944,1.7543107027523872,0.00015809125133781077,-0.9199298499858148,0.3934509302099918,6,17,16,17,0.9411764705882353,0.3934509302099918,High
Cuba,CUB,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,-0.47975034205921624,0.589058060927385,-0.0030269747505410707,0.3829055769606729,-0.4228058844012925,-0.8731638360761415,-0.13446389989985555,6,17,13,17,0.7647058823529411,-0.13446389989985555,Medium
Curacao,CUW,2014,Latin America & Caribbean ,,,,0.35346415410027726,0.5444236536007291,-0.10043180975628396,1.3896143052996088,0.6894692267166356,-0.9464833547217589,0.32167602920653465,6,17,7,17,0.4117647058823529,0.32167602920653465,Low
Cyprus,CYP,2014,Europe & Central Asia,,,,0.6177617501166464,0.6714876921954138,0.26467493071019454,1.5464991938510446,0.4131938895700013,-0.9291066116493889,0.430751807465652,6,17,15,17,0.8823529411764706,0.430751807465652,High
Czechia,CZE,2014,Europe & Central Asia,,,,0.6699304212198235,0.8192167681678001,0.2990677201908867,1.544287103768547,0.6876888522946287,-0.9206751819298128,0.5165859472853122,6,17,15,17,0.8823529411764706,0.5165859472853122,High
Denmark,DNK,2014,Europe & Central Asia,,,,0.8539443155083134,1.071495578903755,0.29828809139070406,1.5445834604422028,0.17459653672360864,-0.8765078326788013,0.5110666917149638,6,17,15,17,0.8823529411764706,0.5110666917149638,High
Djibouti,DJI,2014,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,-0.504392222643044,0.5444236536007291,-0.62476076426857,0.040112120765529,0.7576072975730638,-1.070950824618496,-0.14299345659846469,6,17,12,17,0.7058823529411765,-0.14299345659846469,Medium
Dominica,DMA,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.311559437767746,0.5624085146259187,-0.06091456603250763,1.3896143052996088,-0.07754347237127668,-0.8788781978724888,0.20770767023616674,6,17,11,17,0.6470588235294118,0.20770767023616674,Medium
Dominican Republic,DOM,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.048786923052329956,0.583425314081817,-0.051162174084181555,0.6857758133134545,-0.2246709738256955,-0.9161640046295408,0.020998482984697253,6,17,17,17,1.0,0.020998482984697253,High
Early-demographic dividend,EAR,2014,Aggregates,,,,0.026150963364134878,0.30200918723229647,-0.29968240052502976,0.2981610830014489,-0.26342446328579827,-1.0844376150236024,-0.1702038742060917,6,17,14,17,0.8235294117647058,-0.1702038742060917,High
East Asia & Pacific,EAS,2014,Aggregates,,,,0.21458715177454024,0.600380281717323,-0.1658703244282763,1.4085505684906536,-0.18731578987398304,-1.1126895844010705,0.12627371721319783,6,17,16,17,0.9411764705882353,0.12627371721319783,High
East Asia & Pacific (IDA & IBRD countries),TEA,2014,Aggregates,,,,0.16500222051707963,0.5714171434942418,-0.18727130399255085,0.7529549112583336,-0.2640684335871383,-1.085083992752861,-0.00784157584381584,6,17,15,17,0.8823529411764706,-0.00784157584381584,High
East Asia & Pacific (excluding high income),EAP,2014,Aggregates,,,,0.15487306440367815,0.5717326468185154,-0.19194701001008108,0.7529494669931637,-0.2640601629727281,-1.0850574975392047,-0.010251582051109468,6,17,15,17,0.8823529411764706,-0.010251582051109468,High
Ecuador,ECU,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.18345626341294907,0.6759971709762017,0.0020873901786582585,0.8828547683245755,-0.1996370169814792,-0.9484513182870212,0.09938454293731401,6,17,16,17,0.9411764705882353,0.09938454293731401,High
"Egypt, Arab Rep.",EGY,2014,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,0.041764670186483804,0.37403696117301277,0.09779370447874795,0.3293933411245303,-0.45019157242169483,-1.0942258676923216,-0.11690479385854026,6,17,15,17,0.8823529411764706,-0.11690479385854026,High
El Salvador,SLV,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.31964449975265546,0.3649908869546727,-0.08814730575967777,0.6020179763660906,-0.05631596251927268,-1.0290248000763929,0.018860882453012578,6,17,15,17,0.8823529411764706,0.018860882453012578,High
Equatorial Guinea,GNQ,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.45170910248865587,0.5444236536007291,-0.5388883207698449,-0.27081481458255563,0.14612895995205388,-1.060659288570524,-0.2719198188097996,6,17,12,17,0.7058823529411765,-0.2719198188097996,Medium
Eritrea,ERI,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.7121626531821111,0.07512441623846929,-0.5934854199098635,0.7664256844579834,-0.07257829819100164,-1.0035959817696993,-0.2567120420593704,6,17,10,17,0.5882352941176471,-0.2567120420593704,Low
Estonia,EST,2014,Europe & Central Asia,,,,0.8067632556836785,0.8842356052489343,0.2627767638843375,1.817129992773846,0.7158489815365634,-0.8662830878949874,0.6034119185387287,6,17,16,17,0.9411764705882353,0.6034119185387287,High
Eswatini,SWZ,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.13773775014037107,0.4390497751885014,-0.45200052541017616,0.3020069193002108,0.07244206549758897,-0.9199177990950265,-0.11602621910987876,6,17,14,17,0.8235294117647058,-0.11602621910987876,High
Ethiopia,ETH,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.5627573094648147,0.336125352971915,-0.647950899364204,-0.01760006991925182,-0.3509131338353489,-0.970001715570235,-0.3688496291969899,6,17,13,17,0.7647058823529411,-0.3688496291969899,Medium
Euro area,EMU,2014,Aggregates,,,,0.43659875766384726,0.8485163061917701,0.29855544126079964,1.3896143052996088,-0.010593250226366702,-0.900223128952543,0.34374473853951937,6,17,12,17,0.7058823529411765,0.34374473853951937,Medium
Europe & Central Asia,ECS,2014,Aggregates,,,,0.5598858792801745,0.8863987013957763,0.20510767556694243,1.4997600126760406,-0.05255039077074891,-0.9195147331859398,0.36318119082704087,6,17,16,17,0.9411764705882353,0.36318119082704087,High
Europe & Central Asia (IDA & IBRD countries),TEC,2014,Aggregates,,,,0.44908092056864835,0.848451656222928,0.13060238554756975,1.7329645404080802,-0.19406877079596813,-0.9529928514523412,0.3356729800831528,6,17,16,17,0.9411764705882353,0.3356729800831528,High
Europe & Central Asia (excluding high income),ECA,2014,Aggregates,,,,0.26303330234691513,0.7952504461200677,0.08629339819450466,1.4995114636107625,-0.17274459347276852,-0.9793742150267853,0.2486616336287827,6,17,16,17,0.9411764705882353,0.2486616336287827,High
European Union,EUU,2014,Aggregates,,,,0.43988061730687317,0.8407957514437805,0.28685609053825034,1.3896143052996088,0.01512093405770154,-0.9076652944070238,0.3441004007065318,6,17,12,17,0.7058823529411765,0.3441004007065318,Medium
