year,economy,mean_rank,sd_rank,top_k_freq
2021,Australia,19.904,0.2951821981767898,1.0
2021,Austria,15.372,0.6475285111026098,1.0
2021,Bangladesh,47.968,0.17635305953236302,0.0
2021,Belgium,6.888,0.8846391045966293,1.0
2021,Brazil,27.248,0.4419016954411189,0.0
2021,Canada,12.008,0.7169323314452251,1.0
2021,Chile,39.92,0.27183741892778074,0.0
2021,China,12.224,5.404689321937633,0.924
2021,Colombia,38.916,0.2779442606858298,0.0
2021,Czech Republic,28.26,0.4485586018315872,0.0
2021,Denmark,14.32,0.6895665363343332,1.0
2021,Egypt,32.5,0.5010030100351273,0.0
2021,Finland,33.6,0.49088069367381476,0.0
2021,France,1.0,0.0,1.0
2021,Germany,2.0,0.0,1.0
2021,Greece,21.964,0.1866637980272981,0.0
2021,India,32.048,5.308712245244719,0.0
2021,Indonesia,36.88,0.32561341554908807,0.0
2021,Iraq,46.964,0.18666379802729613,0.0
2021,Ireland,10.368,0.8119192394601957,1.0
2021,Israel,29.308,0.4625926586874092,0.0
2021,Italy,8.072,0.8518913519352145,1.0
2021,Japan,13.164,0.7121323824405702,1.0
2021,Malaysia,34.864,0.3434762053104346,0.0
2021,Mexico,24.012,0.22817593437545663,0.0
2021,Netherlands,3.008,0.08926293455821274,1.0
2021,New Zealand,37.884,0.3208672985724354,0.0
2021,Nigeria,44.956,0.20550652477940265,0.0
2021,Norway,25.096,0.345341923572431,0.0
2021,Pakistan,45.964,0.18666379802729613,0.0
2021,Peru,41.924,0.26552970473449033,0.0
2021,Philippines,35.876,0.3302427000916966,0.0
2021,Poland,17.76,0.4463146727910634,1.0
2021,Portugal,26.1,0.34998565661946435,0.0
2021,Romania,30.396,0.4900454859635512,0.0
2021,Russian Federation,22.984,0.1785258691164252,0.0
2021,Singapore,4.26,0.5742115250515336,1.0
2021,South Africa,40.92,0.27183741892778074,0.0
2021,Spain,9.364,0.8112561532492304,1.0
2021,Sweden,18.904,0.2951821981767898,1.0
2021,Switzerland,6.768,2.403598373389834,1.0
2021,Thailand,31.448,0.4982862195831893,0.0
2021,Türkiye,20.924,0.26552970473449,0.076
2021,United Arab Emirates,16.6,0.5377328579378653,1.0
2021,United Kingdom,6.728,2.513820433660837,1.0
2021,United States,11.484,4.026237244050767,1.0
2021,Viet Nam,42.932,0.252250910976262,0.0
2022,Argentina,43.956,0.2055065247794037,0.0
2022,Australia,19.524,0.5680799762689683,1.0
2022,Austria,15.272,0.8152758421510976,1.0
2022,Bangladesh,47.996,0.06324555320336811,0.0
2022,Belgium,11.932,0.738619139294215,1.0
2022,Brazil,27.22,0.48636013892891683,0.0
2022,Canada,9.58,0.6490648200004753,1.0
2022,Chile,41.94,0.23796324511170955,0.0
2022,China,17.512,4.8983498573806665,0.712
2022,Colombia,39.908,0.2896057422493126,0.0
2022,Czech Republic,30.436,0.5048996878382049,0.0
2022,Denmark,12.936,0.7362555868423863,1.0
2022,Egypt,31.552,0.5062818238299317,0.0
2022,Finland,34.772,0.4203842189786199,0.0
2022,France,1.0,0.0,1.0
2022,Germany,2.0,0.0,1.0
2022,Greece,20.668,0.4886009861786807,0.332
2022,India,31.48,5.5991967295375735,0.004
2022,Indonesia,37.844,0.36358323817846344,0.0
2022,Iraq,46.996,0.06324555320336811,0.0
2022,Ireland,8.388,0.6253159843801254,1.0
2022,Israel,29.404,0.507755119170823,0.0
2022,Italy,5.224,0.4177584090756447,1.0
2022,Japan,14.176,0.7716253122403132,1.0
2022,Malaysia,35.808,0.3946631932985121,0.0
2022,Mexico,22.912,0.36986918343031217,0.0
2022,Netherlands,3.004,0.0632455532033675,1.0
2022,New Zealand,32.58,0.5026036627075748,0.0
2022,Nigeria,44.988,0.10910368672887046,0.0
2022,Norway,25.136,0.4542348701597842,0.0
2022,Pakistan,45.992,0.08926293455821327,0.0
2022,Peru,42.956,0.2055065247794037,0.0
2022,Philippines,38.868,0.3391697872427806,0.0
2022,Poland,17.76,0.7854091098781049,1.0
2022,Portugal,24.072,0.4330892114336734,0.0
2022,Romania,33.604,0.49817337025106884,0.0
2022,Russian Federation,26.188,0.46639693868814247,0.0
2022,Singapore,4.152,0.3597410938695689,1.0
2022,South Africa,40.932,0.25225091097625846,0.0
2022,Spain,6.3,0.508955935792396,1.0
2022,Sweden,21.908,0.3742945171147566,0.0
2022,Switzerland,7.424,1.142561063196419,1.0
2022,Thailand,28.248,0.493426670862117,0.0
2022,Türkiye,16.72,0.8026061966041059,1.0
2022,United Arab Emirates,10.736,0.695874244282271,1.0
2022,United Kingdom,10.708,5.056978160171329,0.96
2022,United States,16.452,2.556921467225427,0.992
2022,Viet Nam,36.836,0.3710183532844376,0.0
2023,Argentina,42.956,0.20550652477940345,0.0
2023,Australia,14.844,0.9546251813920431,1.0
2023,Austria,13.512,0.9452141127149455,1.0
2023,Bangladesh,47.992,0.08926293455821292,0.0
2023,Belgium,9.444,0.6991561178366628,1.0
2023,Brazil,27.436,0.6127035355618242,0.0
2023,Canada,8.384,0.6497945303916521,1.0
2023,Chile,41.932,0.26769880575454336,0.0
2023,China,17.552,5.958296837588681,0.808
2023,Colombia,39.92,0.2862301710920304,0.0
2023,Czech Republic,30.664,0.529362729702794,0.0
2023,Denmark,18.516,0.936617858066027,1.0
2023,Egypt,31.704,0.4993811431205802,0.0
2023,Finland,37.86,0.3807622876266963,0.0
2023,France,1.0,0.0,1.0
2023,Germany,2.0,0.0,1.0
2023,Greece,20.824,0.6281738689555266,0.284
2023,India,28.788,6.528210023001533,0.036
2023,Indonesia,34.776,0.4545883878957303,0.0
2023,Iraq,46.992,0.08926293455821292,0.0
2023,Ireland,11.64,0.7854091098781055,1.0
